,Rank,Name,G,TD,FG,1XP,2XP,Safety,Points,Points/G
108,109,Texas,13,34,14,30,0,1,278,21.4
109,110,Wyoming,12,31,12,31,0,0,253,21.1
110,111,Hawai'i,13,31,18,28,1,1,272,20.9
111,111,Michigan,12,29,15,28,1,1,251,20.9
112,113,Penn State,13,28,24,28,0,0,268,20.6
113,114,Ohio,12,28,17,27,0,0,246,20.5
114,115,Louisiana-Monroe,12,26,20,23,0,1,241,20.1
115,116,San Jose State,12,28,12,28,0,0,232,19.3
116,117,Southern Mississippi,12,25,19,21,0,0,228,19.0
117,118,Kansas,12,27,9,25,0,0,214,17.8
118,119,Vanderbilt,12,26,8,22,2,0,206,17.2
119,119,South Florida,12,24,13,23,0,0,206,17.2
120,121,Syracuse,12,22,17,20,0,1,205,17.1
121,121,UTSA,12,22,17,20,0,1,205,17.1
122,123,Kent State,11,22,10,16,1,0,180,16.4
123,124,Tulane,12,24,8,22,0,1,192,16.0
124,125,Connecticut,12,23,9,19,1,0,186,15.5
125,126,Eastern Michigan,12,23,8,20,0,0,182,15.2
126,127,Wake Forest,12,19,15,19,0,0,178,14.8
127,128,SMU,12,15,9,12,1,1,133,11.1
