,Rank,Name,G,Fum. Gain,Int. Gain,Total Gain,Fum. Lost,Int. Lost,Total Lost,Margin,Margin/G
62,60,North Texas,12,10,12,22,9,13,22,0,0.00
63,60,South Florida,12,14,6,20,9,11,20,0,0.00
64,60,Iowa State,12,6,10,16,5,11,16,0,0.00
65,60,UCLA,13,5,11,16,10,6,16,0,0.00
66,67,UCF,13,10,18,28,14,15,29,-1,-0.08
67,67,BYU,13,12,14,26,15,12,27,-1,-0.08
68,67,Miami (Florida),13,13,10,23,12,12,24,-1,-0.08
69,67,Syracuse,12,12,8,20,4,17,21,-1,-0.08
70,67,Old Dominion,12,14,5,19,4,16,20,-1,-0.08
71,67,Louisiana-Monroe,12,5,11,16,10,7,17,-1,-0.08
72,73,Marshall,14,9,13,22,11,13,24,-2,-0.14
73,73,Alabama,14,9,11,20,12,10,22,-2,-0.14
74,75,Nebraska,13,10,13,23,13,12,25,-2,-0.15
75,75,South Carolina,13,8,11,19,10,11,21,-2,-0.15
76,75,Rutgers,13,11,7,18,7,13,20,-2,-0.15
77,78,Akron,12,11,13,24,12,14,26,-2,-0.17
78,78,Wake Forest,12,13,6,19,7,14,21,-2,-0.17
79,78,UAB,12,10,9,19,9,12,21,-2,-0.17
80,78,Appalachian State,12,7,12,19,10,11,21,-2,-0.17
81,78,Indiana,12,4,13,17,10,9,19,-2,-0.17
82,78,Wyoming,12,13,3,16,8,10,18,-2,-0.17
83,84,Notre Dame,13,7,16,23,12,14,26,-3,-0.23
84,84,Texas,13,7,15,22,14,11,25,-3,-0.23
85,84,Illinois,13,12,7,19,10,12,22,-3,-0.23
86,84,Toledo,13,4,10,14,8,9,17,-3,-0.23
87,88,UTSA,12,10,9,19,10,12,22,-3,-0.25
88,88,California,12,5,12,17,10,10,20,-3,-0.25
89,88,Florida Atlantic,12,7,8,15,13,5,18,-3,-0.25
90,91,Buffalo,11,13,2,15,6,12,18,-3,-0.27
91,92,Virginia Tech,13,10,12,22,11,15,26,-4,-0.31
92,92,East Carolina,13,5,14,19,12,11,23,-4,-0.31
93,92,Navy,13,5,13,18,17,5,22,-4,-0.31
94,95,Middle Tennessee,12,7,13,20,11,13,24,-4,-0.33
95,95,Ohio,12,7,12,19,14,9,23,-4,-0.33
96,97,Kent State,11,9,8,17,4,17,21,-4,-0.36
97,98,Central Michigan,13,8,14,22,14,13,27,-5,-0.38
98,98,Penn State,13,5,16,21,11,15,26,-5,-0.38
99,98,Oklahoma,13,7,12,19,7,17,24,-5,-0.38
100,98,Stanford,13,4,12,16,13,8,21,-5,-0.38
101,98,Pittsburgh,13,4,10,14,12,7,19,-5,-0.38
102,103,Purdue,12,9,10,19,8,16,24,-5,-0.42
103,104,Florida State,14,12,14,26,12,20,32,-6,-0.43
104,105,Iowa,13,3,13,16,15,7,22,-6,-0.46
105,106,Massachusetts,12,5,12,17,10,13,23,-6,-0.50
106,106,Fresno State,14,11,9,20,6,21,27,-7,-0.50
107,108,South Alabama,13,15,6,21,11,17,28,-7,-0.54
108,108,Hawai'i,13,9,11,20,13,14,27,-7,-0.54
109,108,Texas A&M,13,8,5,13,5,15,20,-7,-0.54
110,111,UNLV,13,10,7,17,3,22,25,-8,-0.62
111,111,Oklahoma State,13,2,12,14,5,17,22,-8,-0.62
112,113,Wisconsin,14,11,6,17,10,16,26,-9,-0.64
113,114,Tulsa,12,7,8,15,5,18,23,-8,-0.67
114,115,Southern Mississippi,12,9,7,16,11,15,26,-10,-0.83
115,115,Colorado,12,8,3,11,6,15,21,-10,-0.83
116,117,Idaho,11,9,8,17,8,20,28,-11,-1.00
117,117,San Jose State,12,8,6,14,12,14,26,-12,-1.00
118,119,New Mexico State,12,10,11,21,10,24,34,-13,-1.08
119,119,Texas Tech,12,9,6,15,10,18,28,-13,-1.08
120,119,Connecticut,12,7,8,15,16,12,28,-13,-1.08
121,122,West Virginia,13,2,12,14,19,10,29,-15,-1.15
122,123,SMU,12,10,6,16,16,14,30,-14,-1.17
123,124,Vanderbilt,12,7,6,13,10,19,29,-16,-1.33
124,124,Michigan,12,5,5,10,8,18,26,-16,-1.33
125,126,Washington State,12,5,3,8,7,18,25,-17,-1.42
126,127,Eastern Michigan,12,6,6,12,19,11,30,-18,-1.50
127,128,Georgia State,12,5,3,8,12,18,30,-22,-1.83
