,Rank,Name,G,Int.,Yards,TD,Int./G
98,93,Fresno State,14,9,100,1,0.64
99,100,Kent State,11,8,87,0,0.73
100,100,Idaho,11,8,46,0,0.73
101,100,Connecticut,12,8,174,1,0.67
102,100,Tulsa,12,8,116,1,0.67
103,100,Florida Atlantic,12,8,111,2,0.67
104,100,Syracuse,12,8,91,2,0.67
105,100,Cincinnati,13,8,46,0,0.62
106,107,Southern Mississippi,12,7,53,0,0.58
107,107,Illinois,13,7,203,3,0.54
108,107,Louisiana-Lafayette,13,7,99,0,0.54
109,107,UNLV,13,7,72,0,0.54
110,107,Rutgers,13,7,42,0,0.54
111,112,Wake Forest,12,6,136,1,0.50
112,112,Vanderbilt,12,6,75,1,0.50
113,112,South Florida,12,6,46,1,0.50
114,112,Texas Tech,12,6,42,0,0.50
115,112,San Jose State,12,6,40,0,0.50
116,112,SMU,12,6,14,0,0.50
117,112,Eastern Michigan,12,6,3,0,0.50
118,112,South Alabama,13,6,111,1,0.46
119,112,Wisconsin,14,6,121,0,0.43
120,121,Michigan,12,5,13,1,0.42
121,121,Old Dominion,12,5,0,0,0.42
122,121,Texas A&M,13,5,45,0,0.38
123,124,Wyoming,12,3,51,0,0.25
124,124,Colorado,12,3,28,0,0.25
125,124,Georgia State,12,3,28,0,0.25
126,124,Washington State,12,3,19,0,0.25
127,128,Buffalo,11,2,0,0,0.18
