,Rank,Name,G,Pen.,Yards,Pen./G,Yards/G
114,114,Memphis,3,26,219,8.7,73.0
115,116,Colorado State,4,29,294,7.3,73.5
116,117,Utah,4,35,299,8.8,74.8
117,118,Toledo,3,26,225,8.7,75.0
118,119,Washington State,4,32,305,8.0,76.3
119,119,Tulane,4,39,305,9.8,76.3
120,121,UTEP,3,22,233,7.3,77.7
121,122,Syracuse,4,36,311,9.0,77.8
122,123,Miami (Florida),4,39,313,9.8,78.3
123,124,Illinois,4,29,319,7.3,79.8
124,125,Rutgers,3,25,241,8.3,80.3
125,126,Oklahoma,3,24,249,8.0,83.0
126,127,Arizona,3,26,252,8.7,84.0
127,128,Appalachian State,3,24,256,8.0,85.3
128,128,Cincinnati,3,31,256,10.3,85.3
129,130,Tulsa,4,43,381,10.8,95.3
