,Rank,Name,G,Punts,Yards,Avg.,Punts/G,Yards/G
105,106,Boston College,13,79,3113,39.41,6.1,239.5
106,107,Wisconsin,14,62,2441,39.37,4.4,174.4
107,108,Appalachian State,13,57,2242,39.33,4.4,172.5
108,109,Temple,13,59,2312,39.19,4.5,177.8
109,110,TCU,14,70,2738,39.11,5.0,195.6
110,111,UAB,13,69,2695,39.06,5.3,207.3
111,112,Wyoming,13,88,3429,38.97,6.8,263.8
112,113,Arizona State,13,65,2526,38.86,5.0,194.3
113,114,Iowa,13,71,2741,38.61,5.5,210.8
114,115,Arkansas,12,59,2277,38.59,4.9,189.8
115,116,Maryland,12,66,2545,38.56,5.5,212.1
116,117,Tulane,12,58,2235,38.53,4.8,186.3
117,118,Eastern Michigan,12,70,2691,38.44,5.8,224.3
118,119,Washington State,13,63,2413,38.30,4.8,185.6
119,120,Miami (Florida),13,76,2907,38.25,5.8,223.6
120,121,Connecticut,12,64,2442,38.16,5.3,203.5
121,122,Oregon State,12,60,2280,38.00,5.0,190.0
122,123,Nevada,12,55,2076,37.75,4.6,173.0
123,124,UNLV,12,49,1849,37.73,4.1,154.1
124,125,San Diego State,13,60,2258,37.63,4.6,173.7
125,126,Oregon,13,65,2444,37.60,5.0,188.0
126,127,Louisiana Tech,13,56,2097,37.45,4.3,161.3
127,128,Toledo,14,54,2019,37.39,3.9,144.2
128,129,Ball State,12,75,2603,34.71,6.3,216.9
129,130,Arizona,13,51,1744,34.20,3.9,134.2
