,Rank,Name,G,Int.,Yards,TD,Int./G
85,77,Ohio,13,9,145,2,0.69
86,77,Florida State,13,9,88,2,0.69
87,77,Fresno State,14,9,82,2,0.64
88,89,Colorado,12,8,185,1,0.67
89,89,Eastern Michigan,12,8,162,2,0.67
90,89,Nevada,12,8,156,2,0.67
91,89,Arkansas,12,8,143,0,0.67
92,89,Mississippi,12,8,104,0,0.67
93,89,Minnesota,12,8,98,2,0.67
94,89,Old Dominion,12,8,76,0,0.67
95,89,Buffalo,12,8,39,0,0.67
96,89,South Alabama,12,8,7,0,0.67
97,89,BYU,13,8,224,1,0.62
98,89,UCLA,13,8,82,2,0.62
99,89,Oklahoma,14,8,145,1,0.57
100,89,North Texas,14,8,16,0,0.57
101,102,Tulsa,12,7,147,1,0.58
102,102,UNLV,12,7,106,1,0.58
103,102,North Carolina,12,7,100,0,0.58
104,102,East Carolina,12,7,72,0,0.58
105,102,Vanderbilt,12,7,65,0,0.58
106,102,Oregon State,12,7,49,1,0.58
107,102,Florida International,13,7,58,1,0.54
108,102,Navy,13,7,52,0,0.54
109,110,Georgia Tech,11,6,98,1,0.55
110,110,New Mexico,12,6,162,1,0.50
111,110,UTEP,12,6,52,1,0.50
112,110,Connecticut,12,6,40,1,0.50
113,110,Ball State,12,6,13,0,0.50
114,110,Marshall,13,6,170,3,0.46
115,110,San Jose State,13,6,137,1,0.46
116,110,Army,13,6,93,1,0.46
117,110,Auburn,14,6,82,2,0.43
118,119,Tennessee,12,5,186,2,0.42
119,119,Coastal Carolina,12,5,115,0,0.42
120,119,Cincinnati,12,5,83,1,0.42
121,119,Air Force,12,5,64,1,0.42
122,119,Indiana,12,5,34,0,0.42
123,119,Middle Tennessee,13,5,64,0,0.38
124,125,Syracuse,12,4,62,1,0.33
125,125,Kansas,12,4,12,0,0.33
126,127,Rice,12,3,80,1,0.25
127,127,Baylor,12,3,20,0,0.25
128,129,Charlotte,12,2,0,0,0.17
