,Rank,Name,G,Attempts,Scores,Score %,TD,TD %,FG,FG %
82,80,Duke,12,52,44,84.62,38,73.08,6,11.54
83,84,Akron,12,53,45,84.91,32,60.38,13,24.53
84,85,Air Force,13,47,40,85.11,30,63.83,10,21.28
85,86,Utah State,12,55,47,85.45,39,70.91,8,14.55
86,87,Fresno State,13,42,36,85.71,27,64.29,9,21.43
87,87,Colorado State,12,49,42,85.71,30,61.22,12,24.49
88,89,Michigan,13,57,49,85.96,37,64.91,12,21.05
89,89,Washington State,12,57,49,85.96,42,73.68,7,12.28
90,91,Purdue,12,50,43,86.00,36,72.00,7,14.00
91,92,Illinois,13,44,38,86.36,21,47.73,17,38.64
92,92,North Texas,12,44,38,86.36,27,61.36,11,25.00
93,92,USC,13,44,38,86.36,27,61.36,11,25.00
94,95,East Carolina,13,68,59,86.76,50,73.53,9,13.24
95,96,Minnesota,12,46,40,86.96,33,71.74,7,15.22
96,97,UAB,12,47,41,87.23,32,68.09,9,19.15
97,98,Clemson,13,40,35,87.50,21,52.50,14,35.00
98,99,Bowling Green,12,49,43,87.76,32,65.31,11,22.45
99,99,Northwestern,13,49,43,87.76,34,69.39,9,18.37
100,101,UCLA,12,50,44,88.00,31,62.00,13,26.00
101,102,Wisconsin,13,34,30,88.24,21,61.76,9,26.47
102,102,Army,13,34,30,88.24,26,76.47,4,11.76
103,104,Rutgers,12,43,38,88.37,29,67.44,9,20.93
104,105,New Mexico State,12,52,46,88.46,38,73.08,8,15.38
105,105,Eastern Michigan,12,52,46,88.46,42,80.77,4,7.69
106,107,Tulane,12,45,40,88.89,30,66.67,10,22.22
107,108,UCF,14,28,25,89.29,18,64.29,7,25.00
108,108,Rice,12,56,50,89.29,38,67.86,12,21.43
109,108,Wake Forest,12,56,50,89.29,39,69.64,11,19.64
110,111,Western Kentucky,12,47,42,89.36,37,78.72,5,10.64
111,112,Virginia,12,48,43,89.58,30,62.50,13,27.08
112,113,Kentucky,13,53,48,90.57,36,67.92,12,22.64
113,114,Southern Mississippi,13,43,39,90.70,31,72.09,8,18.60
114,115,Kansas,12,46,42,91.30,34,73.91,8,17.39
115,116,Indiana,12,47,43,91.49,30,63.83,13,27.66
116,117,Washington,13,49,45,91.84,35,71.43,10,20.41
117,118,Penn State,13,37,34,91.89,26,70.27,8,21.62
118,119,Louisiana-Lafayette,12,52,49,94.23,35,67.31,14,26.92
119,120,Mississippi,12,37,35,94.59,27,72.97,8,21.62
