,Rank,Name,G,Fum. Gain,Int. Gain,Total Gain,Fum. Lost,Int. Lost,Total Lost,Margin,Margin/G
104,105,Buffalo,12,10,15,25,10,23,33,-8,-0.67
105,105,Colorado State,12,10,4,14,9,13,22,-8,-0.67
106,105,Kansas,12,5,7,12,6,14,20,-8,-0.67
107,108,Florida Atlantic,12,6,11,17,12,14,26,-9,-0.75
108,109,Michigan,13,7,12,19,14,15,29,-10,-0.77
109,110,Duke,12,10,8,18,9,19,28,-10,-0.83
110,111,Fresno State,13,5,8,13,15,9,24,-11,-0.85
111,112,SMU,14,5,10,15,13,14,27,-12,-0.86
112,113,Central Michigan,12,14,4,18,11,18,29,-11,-0.92
113,113,UCLA,12,11,7,18,15,14,29,-11,-0.92
114,113,Eastern Michigan,12,11,2,13,10,14,24,-11,-0.92
115,116,New Mexico,12,15,4,19,16,15,31,-12,-1.00
116,116,Texas,12,10,8,18,13,17,30,-12,-1.00
117,118,Memphis,12,5,8,13,13,13,26,-13,-1.08
118,119,Cincinnati,12,6,8,14,14,15,29,-15,-1.25
119,120,Middle Tennessee,13,8,11,19,14,24,38,-19,-1.46
