,Rank,Name,G,Rush,Pass,Penalty,Total,Total/G
48,48,Florida International,13,103,115,28,246,18.9
49,50,Indiana,12,94,121,13,228,19.0
50,51,Minnesota,12,109,105,15,229,19.1
51,51,Missouri,13,101,126,21,248,19.1
52,51,Nevada,14,90,153,24,267,19.1
53,51,Hawai'i,14,108,145,14,267,19.1
54,55,Michigan State,13,95,131,23,249,19.2
55,55,Iowa,13,97,136,16,249,19.2
56,57,Western Kentucky,12,110,108,14,232,19.3
57,58,Virginia,12,115,93,25,233,19.4
58,58,Mississippi State,13,95,140,17,252,19.4
59,60,Tulane,12,113,106,15,234,19.5
60,60,Toledo,13,96,140,17,253,19.5
61,60,Georgia Tech,13,109,123,21,253,19.5
62,63,Oregon,13,87,140,28,255,19.6
63,63,Tennessee,13,104,134,17,255,19.6
64,65,Cincinnati,12,89,130,17,236,19.7
65,65,Southern Mississippi,13,81,137,38,256,19.7
66,67,Louisiana-Monroe,12,104,117,17,238,19.8
67,67,Troy,13,104,132,21,257,19.8
68,67,Middle Tennessee,13,127,112,19,258,19.8
69,70,Vanderbilt,12,121,108,10,239,19.9
70,71,Maryland,13,88,140,32,260,20.0
71,71,Florida State,14,114,135,31,280,20.0
72,73,Central Michigan,12,113,107,22,242,20.2
73,73,Texas A&M,13,102,141,20,263,20.2
74,73,San Diego State,13,112,126,25,263,20.2
75,76,Louisiana-Lafayette,12,100,126,17,243,20.3
76,77,Washington,13,132,115,18,265,20.4
77,77,SMU,14,128,134,23,285,20.4
78,79,Ball State,12,113,112,23,248,20.7
79,80,Arizona State,12,74,142,33,249,20.8
80,80,UAB,12,100,126,23,249,20.8
81,80,Navy,13,114,149,7,270,20.8
82,83,Colorado,12,95,142,14,251,20.9
83,84,Akron,12,101,138,15,254,21.2
84,84,Florida Atlantic,12,138,96,20,254,21.2
85,86,Purdue,12,102,138,15,255,21.3
86,86,Arkansas State,12,140,104,12,256,21.3
87,88,Auburn,14,104,167,28,299,21.4
88,89,Marshall,12,99,141,18,258,21.5
89,89,New Mexico State,12,111,123,24,258,21.5
90,89,Colorado State,12,137,111,10,258,21.5
91,92,USC,13,109,150,22,281,21.6
92,92,Idaho,13,119,136,26,281,21.6
93,94,UCLA,12,117,117,26,260,21.7
94,94,Kansas State,13,143,125,14,282,21.7
95,96,Eastern Michigan,12,126,114,21,261,21.8
96,96,Duke,12,130,116,15,261,21.8
97,98,Iowa State,12,130,121,12,263,21.9
98,99,Utah State,12,110,130,26,266,22.2
99,99,Oregon State,12,127,117,22,266,22.2
100,101,Rice,12,95,158,14,267,22.3
101,101,Bowling Green,12,131,121,15,267,22.3
102,101,Wyoming,12,144,105,19,268,22.3
103,101,Oklahoma State,13,108,158,24,290,22.3
104,105,Northwestern,13,126,144,21,291,22.4
105,105,UNLV,13,153,121,17,291,22.4
106,107,Michigan,13,125,148,19,292,22.5
107,107,Tulsa,13,97,182,14,293,22.5
108,109,Kansas,12,134,116,21,271,22.6
109,109,UTEP,13,127,145,22,294,22.6
110,111,Houston,12,138,126,11,275,22.9
111,112,Memphis,12,111,146,19,276,23.0
112,113,Wake Forest,12,132,131,15,278,23.2
113,114,Washington State,12,134,127,19,280,23.3
114,115,East Carolina,13,147,140,17,304,23.4
115,116,Texas Tech,13,112,172,22,306,23.5
116,117,Louisiana Tech,12,112,152,19,283,23.6
117,118,New Mexico,12,155,114,19,288,24.0
118,119,San Jose State,13,135,161,17,313,24.1
119,120,Baylor,13,121,169,25,315,24.2
