,Rank,Name,G,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
45,37,Southern Mississippi,13,9,4,3,2,2,2,0
46,37,UAB,12,9,0,0,0,0,0,0
47,37,Utah State,12,9,5,5,5,3,2,1
48,37,Wisconsin,13,9,4,3,1,1,1,1
49,50,Arkansas State,12,8,5,4,3,2,1,0
50,50,Colorado,12,8,4,2,1,1,1,0
51,50,Colorado State,12,8,3,2,2,2,0,0
52,50,Florida International,13,8,3,3,2,2,2,1
53,50,Florida State,14,8,4,3,0,0,0,0
54,50,Houston,12,8,4,2,2,1,1,1
55,50,Northern Illinois,14,8,1,1,1,1,1,0
56,50,Ohio,13,8,2,0,0,0,0,0
57,50,Penn State,13,8,1,1,1,1,1,1
58,50,TCU,13,8,4,3,1,1,1,0
59,50,Texas Tech,13,8,2,1,1,1,1,1
60,50,Utah,13,8,5,2,1,1,1,1
61,50,Vanderbilt,12,8,6,2,2,2,0,0
62,50,Wake Forest,12,8,5,2,0,0,0,0
63,64,Army,13,7,1,0,0,0,0,0
64,64,Boise State,13,7,4,2,0,0,0,0
65,64,Cincinnati,12,7,1,0,0,0,0,0
66,64,Clemson,13,7,3,3,2,2,1,0
67,64,Eastern Michigan,12,7,1,0,0,0,0,0
68,64,Georgia,13,7,3,3,2,2,1,1
69,64,Iowa,13,7,2,1,1,1,1,0
70,64,Miami (Ohio),14,7,1,0,0,0,0,0
71,64,North Carolina State,13,7,2,1,0,0,0,0
72,64,Northwestern,13,7,3,1,1,1,1,1
73,64,Syracuse,13,7,1,0,0,0,0,0
74,64,Troy,13,7,4,2,1,1,1,1
75,64,Tulsa,13,7,4,3,2,1,1,1
76,64,Virginia,12,7,4,3,2,2,1,0
77,64,Washington,13,7,3,2,0,0,0,0
78,64,Wyoming,12,7,2,1,0,0,0,0
79,80,Ball State,12,6,3,2,2,1,1,1
80,80,California,12,6,2,1,1,0,0,0
81,80,Hawai'i,14,6,1,0,0,0,0,0
82,80,Illinois,13,6,2,0,0,0,0,0
83,80,Miami (Florida),13,6,1,1,1,1,1,0
84,80,Mississippi State,13,6,1,1,1,1,1,1
85,80,Nebraska,14,6,3,1,1,1,1,1
86,80,Nevada,14,6,2,2,1,1,1,0
87,80,North Carolina,13,6,1,0,0,0,0,0
88,80,Notre Dame,13,6,3,0,0,0,0,0
89,80,Pittsburgh,13,6,2,1,0,0,0,0
90,80,Purdue,12,6,2,1,0,0,0,0
91,80,Temple,12,6,2,2,0,0,0,0
92,80,Western Michigan,12,6,2,1,1,1,1,1
93,94,Air Force,13,5,3,2,1,1,1,1
94,94,Baylor,13,5,1,0,0,0,0,0
95,94,Central Michigan,12,5,2,1,1,1,1,0
96,94,Memphis,12,5,0,0,0,0,0,0
97,94,San Diego State,13,5,0,0,0,0,0,0
98,94,San Jose State,13,5,2,2,1,1,0,0
99,94,Tennessee,13,5,2,1,1,1,0,0
100,94,UCLA,12,5,4,1,0,0,0,0
101,94,Virginia Tech,14,5,3,3,2,2,2,2
102,94,Western Kentucky,12,5,2,1,1,1,1,1
103,104,Akron,12,4,2,0,0,0,0,0
104,104,Boston College,13,4,2,0,0,0,0,0
105,104,Buffalo,12,4,1,0,0,0,0,0
106,104,Florida Atlantic,12,4,1,0,0,0,0,0
107,104,Georgia Tech,13,4,1,0,0,0,0,0
108,104,Michigan State,13,4,1,0,0,0,0,0
109,104,South Carolina,14,4,0,0,0,0,0,0
110,104,Stanford,13,4,2,2,2,1,1,0
111,104,Washington State,12,4,0,0,0,0,0,0
112,113,Arkansas,13,3,1,1,1,0,0,0
113,113,Missouri,13,3,1,1,1,1,1,0
114,113,Texas,12,3,0,0,0,0,0,0
115,113,Tulane,12,3,0,0,0,0,0,0
116,113,West Virginia,13,3,2,2,1,0,0,0
117,118,Kent State,12,2,1,1,1,1,1,1
118,118,Louisiana-Lafayette,12,2,2,1,1,1,1,1
119,118,Maryland,13,2,0,0,0,0,0,0
