,Rank,Name,G,Int.,Passes Broken Up,Passes Defended,Passes Defended/G
47,46,Arkansas,13,10,49,59,4.54
48,46,Miami (Florida),13,8,51,59,4.54
49,46,Houston,13,7,52,59,4.54
50,46,Penn State,14,10,49,59,4.21
51,52,Louisville,13,15,43,58,4.46
52,52,Oklahoma State,13,14,44,58,4.46
53,52,Central Michigan,13,13,45,58,4.46
54,52,Tennessee,13,11,47,58,4.46
55,56,Cincinnati,12,17,40,57,4.75
56,56,Virginia,12,9,48,57,4.75
57,56,Appalachian State,13,20,37,57,4.38
58,56,Idaho,13,17,40,57,4.38
59,56,Florida,13,16,41,57,4.38
60,56,Old Dominion,13,11,46,57,4.38
61,56,Louisiana Tech,14,9,48,57,4.07
62,63,Texas,12,10,46,56,4.67
63,63,Texas Tech,12,5,51,56,4.67
64,63,Minnesota,13,9,47,56,4.31
65,66,Oregon,12,9,46,55,4.58
66,66,Marshall,12,8,47,55,4.58
67,66,Florida State,13,15,40,55,4.23
68,66,Wake Forest,13,12,43,55,4.23
69,66,UTSA,13,7,48,55,4.23
70,71,SMU,12,18,36,54,4.50
71,71,Western Michigan,14,15,39,54,3.86
72,73,Kent State,12,12,41,53,4.42
73,73,Ball State,12,7,46,53,4.42
74,73,Oregon State,12,7,46,53,4.42
75,73,South Carolina,13,15,38,53,4.08
76,73,Navy,14,7,46,53,3.79
77,78,California,12,11,41,52,4.33
78,78,Arizona,12,8,44,52,4.33
79,78,Georgia,13,15,37,52,4.00
80,78,Wyoming,14,15,37,52,3.71
81,82,Akron,12,8,43,51,4.25
82,82,Florida International,12,6,45,51,4.25
83,82,Southern Mississippi,13,10,41,51,3.92
84,82,Pittsburgh,13,9,42,51,3.92
85,82,New Mexico,13,8,43,51,3.92
86,82,Toledo,13,6,45,51,3.92
87,88,Arizona State,12,9,41,50,4.17
88,88,Rutgers,12,8,42,50,4.17
89,88,UTEP,12,6,44,50,4.17
90,88,South Florida,13,15,35,50,3.85
91,88,North Texas,13,14,36,50,3.85
92,93,Mississippi State,13,14,35,49,3.77
93,93,Louisiana-Lafayette,13,10,39,49,3.77
94,95,Louisiana-Monroe,12,6,42,48,4.00
95,95,Massachusetts,12,4,44,48,4.00
96,95,Maryland,13,5,43,48,3.69
97,98,Georgia State,12,11,36,47,3.92
98,98,Army,13,17,30,47,3.62
99,98,Kentucky,13,13,34,47,3.62
100,98,North Carolina,13,1,46,47,3.62
101,102,Bowling Green,12,9,36,45,3.75
102,102,Mississippi,12,8,37,45,3.75
103,102,South Alabama,13,10,35,45,3.46
104,105,San Jose State,12,10,34,44,3.67
105,105,Notre Dame,12,8,36,44,3.67
106,105,East Carolina,12,5,39,44,3.67
107,108,Georgia Southern,12,9,34,43,3.58
108,108,Rice,12,5,38,43,3.58
109,108,Washington State,13,12,31,43,3.31
110,108,Georgia Tech,13,11,32,43,3.31
111,112,Temple,14,12,30,42,3.00
112,113,Duke,12,10,31,41,3.42
113,113,Michigan State,12,8,33,41,3.42
114,113,Connecticut,12,7,34,41,3.42
115,116,New Mexico State,12,13,27,40,3.33
116,116,Tulane,12,12,28,40,3.33
117,116,Utah State,12,7,33,40,3.33
118,116,Fresno State,12,5,35,40,3.33
119,116,Colorado State,13,8,32,40,3.08
120,121,Hawai'i,14,11,27,38,2.71
121,122,Syracuse,12,10,26,36,3.00
122,122,Florida Atlantic,12,10,26,36,3.00
123,124,Purdue,12,12,23,35,2.92
124,125,Buffalo,12,5,29,34,2.83
125,126,Illinois,12,7,26,33,2.75
126,127,Nevada,12,5,26,31,2.58
127,128,Texas State,12,3,23,26,2.17
