,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
31,31,Rutgers,12,160,63,26,16,10,3,1,0,0
32,31,UAB,14,160,58,24,14,4,1,0,0,0
33,31,Washington State,13,160,65,29,15,7,2,1,1,0
34,35,TCU,13,161,52,24,10,6,2,0,0,0
35,36,Boise State,13,164,57,28,16,10,4,4,1,0
36,37,Arkansas State,13,165,60,34,21,14,8,1,0,0
37,37,Georgia Southern,13,165,47,18,12,7,4,2,1,0
38,37,Kansas State,12,165,49,22,13,10,7,3,3,0
39,37,Utah,14,165,51,22,9,5,3,1,1,0
40,41,Colorado,12,166,46,23,14,6,4,2,0,0
41,41,Miami (Ohio),12,166,54,17,8,4,1,1,0,0
42,41,Tulsa,12,166,51,25,11,5,3,1,1,0
43,41,UTEP,12,166,50,23,13,7,3,2,2,0
44,45,Alabama,15,167,66,26,13,6,3,2,0,0
45,45,Boston College,12,167,59,24,10,5,4,4,0,0
46,45,Notre Dame,13,167,43,17,8,4,1,0,0,0
47,48,LSU,13,168,58,20,5,1,0,0,0,0
48,48,Minnesota,13,168,56,25,19,13,9,4,1,0
49,48,Texas A&M,13,168,66,31,17,10,5,3,1,0
50,51,Marshall,13,170,53,21,9,4,1,0,0,0
51,51,North Texas,13,170,62,37,20,11,6,2,0,0
52,53,Arkansas,12,171,49,28,15,8,6,1,0,0
53,53,Louisiana Tech,13,171,63,20,7,4,2,0,0,0
54,53,Louisville,12,171,70,38,18,12,7,3,0,0
55,56,North Carolina,11,172,63,28,16,10,6,1,1,0
56,57,Florida State,12,173,60,25,17,10,4,1,0,0
57,57,Missouri,13,173,67,33,21,9,4,2,1,0
58,57,Temple,13,173,44,20,10,5,2,1,1,0
59,60,Iowa State,13,174,53,17,8,1,1,1,0,0
60,60,Penn State,13,174,47,19,9,5,2,1,0,0
61,60,Utah State,13,174,58,31,14,8,3,3,0,0
62,63,Oregon,13,176,63,26,14,5,4,1,0,0
63,64,Akron,12,177,40,14,8,4,3,2,0,0
64,65,Auburn,13,178,60,28,12,5,2,2,0,0
