,Rank,Name,G,Int.,Passes Broken Up,Passes Defended,Passes Defended/G
58,57,Mississippi State,13,13,45,58,4.46
59,57,San Diego State,13,10,48,58,4.46
60,57,UAB,14,9,49,58,4.14
61,62,Georgia,14,8,49,57,4.07
62,63,Syracuse,13,18,38,56,4.31
63,63,Georgia Southern,13,15,41,56,4.31
64,65,West Virginia,12,15,40,55,4.58
65,65,Texas State,12,6,49,55,4.58
66,65,Eastern Michigan,13,13,42,55,4.23
67,65,Michigan,13,11,44,55,4.23
68,65,Purdue,13,11,44,55,4.23
69,70,Arizona,12,7,47,54,4.50
70,70,Arkansas State,13,12,42,54,4.15
71,70,Iowa State,13,8,46,54,4.15
72,73,Minnesota,13,11,42,53,4.08
73,73,South Florida,13,11,42,53,4.08
74,73,South Carolina,13,6,47,53,4.08
75,76,Texas A&M,13,7,45,52,4.00
76,77,Mississippi,12,7,44,51,4.25
77,77,Louisiana Tech,13,13,38,51,3.92
78,77,Nevada,13,11,40,51,3.92
79,77,Missouri,13,10,41,51,3.92
80,81,Maryland,12,18,32,50,4.17
81,81,Ball State,12,12,38,50,4.17
82,81,Kansas State,12,11,39,50,4.17
83,81,Akron,12,10,40,50,4.17
84,81,Army,13,5,45,50,3.85
85,86,Florida Atlantic,12,11,38,49,4.08
86,86,Tulsa,12,9,40,49,4.08
87,86,Washington State,13,12,37,49,3.77
88,89,East Carolina,12,5,43,48,4.00
89,89,Rice,13,8,40,48,3.69
90,89,Northern Illinois,14,8,40,48,3.43
91,92,Kent State,12,9,38,47,3.92
92,92,Hawai'i,14,5,42,47,3.36
93,94,North Carolina,11,7,39,46,4.18
94,94,Indiana,12,13,33,46,3.83
95,94,SMU,12,11,35,46,3.83
96,94,UTEP,12,5,41,46,3.83
97,94,Arkansas,12,5,41,46,3.83
98,94,Louisiana-Lafayette,14,8,38,46,3.29
99,100,Kansas,12,16,29,45,3.75
100,100,Colorado State,12,7,38,45,3.75
101,100,Baylor,13,7,38,45,3.46
102,103,UNLV,12,10,34,44,3.67
103,103,New Mexico,12,9,35,44,3.67
104,103,Miami (Ohio),12,8,36,44,3.67
105,106,Southern Mississippi,11,14,29,43,3.91
106,106,Central Michigan,12,10,33,43,3.58
107,106,Colorado,12,8,35,43,3.58
108,106,Oklahoma State,13,5,38,43,3.31
109,106,Duke,13,4,39,43,3.31
110,111,South Alabama,12,12,30,42,3.50
111,111,New Mexico State,12,7,35,42,3.50
112,111,BYU,13,9,33,42,3.23
113,114,UTSA,12,9,32,41,3.42
114,115,Charlotte,12,9,31,40,3.33
115,115,Louisiana-Monroe,12,5,35,40,3.33
116,117,Tennessee,12,9,30,39,3.25
117,117,Bowling Green,12,6,33,39,3.25
118,117,Virginia Tech,13,7,32,39,3.00
119,117,Boise State,13,7,32,39,3.00
120,121,Georgia Tech,13,11,27,38,2.92
121,122,Massachusetts,12,12,25,37,3.08
122,122,Oregon State,12,3,34,37,3.08
123,124,Air Force,12,7,29,36,3.00
124,124,Navy,13,9,27,36,2.77
125,126,Western Michigan,13,9,26,35,2.69
126,127,Coastal Carolina,12,4,30,34,2.83
127,128,Connecticut,12,5,23,28,2.33
128,129,Georgia State,12,6,21,27,2.25
129,129,Louisville,12,6,21,27,2.25
