,Rank,Name,G,Pen.,Yards,Pen./G,Yards/G
48,49,Texas A&M,13,87,737,6.7,56.7
49,49,Tulane,13,82,737,6.3,56.7
50,51,North Texas,13,76,734,5.8,56.5
51,52,Iowa,13,78,728,6.0,56.0
52,52,Michigan,13,76,728,5.8,56.0
53,54,Baylor,13,81,727,6.2,55.9
54,54,Mississippi,12,74,671,6.2,55.9
55,56,Ohio State,14,81,781,5.8,55.8
56,57,Marshall,13,85,722,6.5,55.5
57,58,Memphis,14,88,776,6.3,55.4
58,59,Auburn,13,90,719,6.9,55.3
59,59,Cincinnati,13,81,719,6.2,55.3
60,59,Kansas,12,72,664,6.0,55.3
61,62,Colorado State,12,75,659,6.3,54.9
62,63,California,13,80,710,6.2,54.6
63,64,Western Michigan,13,84,707,6.5,54.4
64,65,Vanderbilt,13,86,706,6.6,54.3
65,66,Nevada,13,83,702,6.4,54.0
66,67,North Carolina State,13,89,698,6.8,53.7
67,67,UNLV,12,69,644,5.8,53.7
68,69,USC,12,70,643,5.8,53.6
69,70,Arizona State,13,75,692,5.8,53.2
70,71,Arkansas,12,74,632,6.2,52.7
71,72,Troy,13,75,684,5.8,52.6
72,73,Oklahoma State,13,81,682,6.2,52.5
73,74,Florida,13,87,681,6.7,52.4
74,75,Minnesota,13,71,679,5.5,52.2
75,76,Clemson,15,98,779,6.5,51.9
76,76,South Florida,13,81,675,6.2,51.9
77,76,Oregon State,12,67,623,5.6,51.9
78,79,San Jose State,12,76,621,6.3,51.8
79,79,Middle Tennessee,14,83,725,5.9,51.8
80,79,Louisville,12,66,622,5.5,51.8
81,82,Alabama,15,92,776,6.1,51.7
82,83,UTEP,12,67,619,5.6,51.6
83,84,Duke,13,69,669,5.3,51.5
84,85,Temple,13,83,668,6.4,51.4
85,85,Air Force,12,71,617,5.9,51.4
86,87,Texas State,12,67,614,5.6,51.2
87,88,Liberty,12,65,612,5.4,51.0
88,89,Kansas State,12,69,609,5.8,50.8
89,90,Florida State,12,69,607,5.8,50.6
90,90,Southern Mississippi,11,56,557,5.1,50.6
91,92,Georgia State,12,71,599,5.9,49.9
92,93,Wake Forest,13,75,647,5.8,49.8
93,94,BYU,13,79,641,6.1,49.3
94,95,Virginia,13,71,638,5.5,49.1
95,96,New Mexico,12,76,588,6.3,49.0
96,97,Michigan State,13,68,634,5.2,48.8
97,98,Wyoming,12,71,577,5.9,48.1
98,99,UCLA,12,65,570,5.4,47.5
99,100,Appalachian State,13,78,614,6.0,47.2
100,101,Miami (Florida),13,62,611,4.8,47.0
101,102,Georgia Southern,13,71,607,5.5,46.7
102,103,Boise State,13,79,600,6.1,46.2
103,104,Virginia Tech,13,85,587,6.5,45.2
104,104,Northern Illinois,14,82,633,5.9,45.2
105,106,Oregon,13,77,583,5.9,44.8
106,107,Charlotte,12,55,536,4.6,44.7
107,108,TCU,13,73,575,5.6,44.2
108,109,Utah,14,64,616,4.6,44.0
109,109,Florida International,13,60,572,4.6,44.0
110,111,Washington,14,74,612,5.3,43.7
111,112,Tennessee,12,68,515,5.7,42.9
112,113,UAB,14,63,597,4.5,42.6
113,114,Louisiana-Lafayette,14,67,592,4.8,42.3
114,114,Maryland,12,57,507,4.8,42.3
115,116,Army,13,72,549,5.5,42.2
116,116,Notre Dame,13,65,548,5.0,42.2
117,118,San Diego State,13,58,543,4.5,41.8
118,119,Boston College,12,64,500,5.3,41.7
119,120,Fresno State,14,70,575,5.0,41.1
120,121,Florida Atlantic,12,49,488,4.1,40.7
121,122,North Carolina,11,55,447,5.0,40.6
122,123,Pittsburgh,14,70,567,5.0,40.5
123,124,Georgia,14,67,525,4.8,37.5
124,125,Mississippi State,13,62,475,4.8,36.5
125,126,Massachusetts,12,50,432,4.2,36.0
126,127,Georgia Tech,13,56,459,4.3,35.3
127,128,Rice,13,54,448,4.2,34.5
128,129,Wisconsin,13,44,421,3.4,32.4
129,130,Navy,13,46,396,3.5,30.5
