,Rank,Name,G,Fum. Gain,Int. Gain,Total Gain,Fum. Lost,Int. Lost,Total Lost,Margin,Margin/G
74,73,Penn State,13,7,13,20,13,8,21,-1,-0.08
75,73,Kent State,12,10,9,19,10,10,20,-1,-0.08
76,73,Tulane,13,6,12,18,12,7,19,-1,-0.08
77,73,Tennessee,12,6,9,15,11,5,16,-1,-0.08
78,73,Air Force,12,7,7,14,10,5,15,-1,-0.08
79,80,Southern Mississippi,11,8,14,22,10,13,23,-1,-0.09
80,81,Louisiana-Lafayette,14,7,8,15,3,14,17,-2,-0.14
81,81,Oklahoma,14,5,6,11,6,7,13,-2,-0.14
82,83,Liberty,12,10,12,22,6,18,24,-2,-0.17
83,83,Nebraska,12,9,11,20,11,11,22,-2,-0.17
84,85,California,13,7,21,28,11,20,31,-3,-0.23
85,85,Wake Forest,13,10,6,16,6,13,19,-3,-0.23
86,85,Iowa State,13,8,8,16,10,9,19,-3,-0.23
87,85,San Diego State,13,5,10,15,11,7,18,-3,-0.23
88,89,Minnesota,13,10,11,21,11,14,25,-4,-0.31
89,89,Rice,13,11,8,19,7,16,23,-4,-0.31
90,91,New Mexico,12,13,9,22,9,17,26,-4,-0.33
91,91,Tulsa,12,11,9,20,14,10,24,-4,-0.33
92,91,Massachusetts,12,8,12,20,14,10,24,-4,-0.33
93,91,Illinois,12,5,15,20,10,14,24,-4,-0.33
94,91,Texas Tech,12,6,12,18,7,15,22,-4,-0.33
95,91,Ball State,12,6,12,18,10,12,22,-4,-0.33
96,91,South Alabama,12,6,12,18,12,10,22,-4,-0.33
97,91,Arizona,12,8,7,15,9,10,19,-4,-0.33
98,91,Colorado,12,7,8,15,7,12,19,-4,-0.33
99,100,Utah,14,6,15,21,14,12,26,-5,-0.36
100,101,TCU,13,9,12,21,11,15,26,-5,-0.38
101,101,South Carolina,13,10,6,16,7,14,21,-5,-0.38
102,101,Purdue,13,3,11,14,6,13,19,-5,-0.38
103,104,Central Michigan,12,12,10,22,9,18,27,-5,-0.42
104,104,Akron,12,11,10,21,12,14,26,-5,-0.42
105,104,Texas State,12,12,6,18,11,12,23,-5,-0.42
106,107,Nevada,13,11,11,22,11,17,28,-6,-0.46
107,108,Old Dominion,12,5,9,14,8,12,20,-6,-0.50
108,108,Coastal Carolina,12,8,4,12,11,7,18,-6,-0.50
109,110,Duke,13,9,4,13,10,10,20,-7,-0.54
110,110,Texas A&M,13,4,7,11,9,9,18,-7,-0.54
111,112,North Carolina,11,10,7,17,9,14,23,-6,-0.55
112,113,Florida Atlantic,12,3,11,14,6,15,21,-7,-0.58
113,114,Hawai'i,14,7,5,12,9,12,21,-9,-0.64
114,115,New Mexico State,12,10,7,17,9,16,25,-8,-0.67
115,115,Bowling Green,12,8,6,14,9,13,22,-8,-0.67
116,115,Georgia State,12,4,6,10,12,6,18,-8,-0.67
117,118,Oklahoma State,13,8,5,13,9,13,22,-9,-0.69
118,118,Baylor,13,3,7,10,6,13,19,-9,-0.69
119,120,Arkansas,12,11,5,16,8,18,26,-10,-0.83
120,120,Colorado State,12,5,7,12,6,16,22,-10,-0.83
121,120,USC,12,6,4,10,10,10,20,-10,-0.83
122,120,Oregon State,12,5,3,8,9,9,18,-10,-0.83
123,124,Florida State,12,3,12,15,13,13,26,-11,-0.92
124,125,Louisville,12,7,6,13,10,15,25,-12,-1.00
125,125,Louisiana-Monroe,12,6,5,11,11,12,23,-12,-1.00
126,127,Rutgers,12,6,9,15,7,22,29,-14,-1.17
127,127,East Carolina,12,6,5,11,10,15,25,-14,-1.17
128,129,UTEP,12,6,5,11,9,19,28,-17,-1.42
129,129,Connecticut,12,6,5,11,11,17,28,-17,-1.42
