,Rank,Name,G,Fum. Gain,Int. Gain,Total Gain,Fum. Lost,Int. Lost,Total Lost,Margin,Margin/G
46,47,Georgia Tech,14,9,16,25,13,8,21,4,0.29
47,48,Ohio State,12,7,14,21,11,7,18,3,0.25
48,49,TCU,13,11,21,32,17,12,29,3,0.23
49,50,Tulsa,14,15,12,27,11,13,24,3,0.21
50,50,Wisconsin,14,7,8,15,6,6,12,3,0.21
51,52,Baylor,13,7,18,25,10,13,23,2,0.15
52,52,Duke,13,12,11,23,9,12,21,2,0.15
53,52,Clemson,13,10,13,23,7,14,21,2,0.15
54,52,Michigan State,13,6,14,20,8,10,18,2,0.15
55,52,Central Michigan,13,5,13,18,7,9,16,2,0.15
56,57,San Diego State,13,12,14,26,14,11,25,1,0.08
57,57,Missouri,12,16,7,23,8,14,22,1,0.08
58,59,Iowa State,13,12,14,26,9,17,26,0,0.00
59,59,East Carolina,13,12,10,22,8,14,22,0,0.00
60,59,Oklahoma State,13,11,11,22,6,16,22,0,0.00
61,59,Navy,13,11,8,19,14,5,19,0,0.00
62,59,North Texas,12,8,11,19,5,14,19,0,0.00
63,59,Vanderbilt,13,7,11,18,13,5,18,0,0.00
64,65,Mississippi,13,13,15,28,11,18,29,-1,-0.08
65,65,Arizona,13,15,12,27,13,15,28,-1,-0.08
66,65,Memphis,12,15,8,23,21,3,24,-1,-0.08
67,65,Louisiana-Lafayette,13,8,13,21,13,9,22,-1,-0.08
68,65,Utah State,13,6,14,20,11,10,21,-1,-0.08
69,70,USC,13,13,19,32,14,20,34,-2,-0.15
70,70,Purdue,13,11,14,25,13,14,27,-2,-0.15
71,70,Western Kentucky,13,9,13,22,12,12,24,-2,-0.15
72,70,Syracuse,13,11,9,20,12,10,22,-2,-0.15
73,70,Minnesota,13,7,13,20,7,15,22,-2,-0.15
74,75,Marshall,12,9,9,18,8,12,20,-2,-0.17
75,75,Florida Atlantic,12,9,8,17,13,6,19,-2,-0.17
76,77,Temple,11,13,4,17,13,6,19,-2,-0.18
77,78,BYU,13,10,12,22,8,17,25,-3,-0.23
78,78,Ball State,13,7,7,14,7,10,17,-3,-0.23
79,80,Kansas,12,9,11,20,10,13,23,-3,-0.25
80,80,Kentucky,12,8,5,13,6,10,16,-3,-0.25
81,80,Indiana,12,6,7,13,3,13,16,-3,-0.25
82,83,Nevada,13,12,6,18,12,10,22,-4,-0.31
83,83,Oklahoma,13,3,13,16,9,11,20,-4,-0.31
84,85,Houston,12,12,19,31,15,20,35,-4,-0.33
85,85,UTEP,12,12,7,19,10,13,23,-4,-0.33
86,85,Florida International,12,8,10,18,16,6,22,-4,-0.33
87,88,Florida State,14,11,11,22,17,10,27,-5,-0.36
88,89,Virginia Tech,13,8,13,21,9,17,26,-5,-0.38
89,89,Texas A&M,13,4,12,16,11,10,21,-5,-0.38
90,91,Colorado State,12,14,7,21,11,15,26,-5,-0.42
91,91,Boston College,12,9,10,19,11,13,24,-5,-0.42
92,91,Eastern Michigan,12,9,7,16,6,15,21,-5,-0.42
93,91,Miami (Ohio),12,2,12,14,7,12,19,-5,-0.42
94,95,UNLV,13,8,9,17,6,17,23,-6,-0.46
95,96,Troy,12,14,6,20,14,12,26,-6,-0.50
96,96,Tennessee,12,5,12,17,9,14,23,-6,-0.50
97,96,Buffalo,12,3,13,16,12,10,22,-6,-0.50
98,99,California,12,9,14,23,17,13,30,-7,-0.58
99,100,Army,12,7,7,14,20,2,22,-8,-0.67
100,101,North Carolina State,13,8,16,24,16,17,33,-9,-0.69
101,101,Michigan,13,11,7,18,8,19,27,-9,-0.69
102,103,Tulane,12,9,15,24,13,20,33,-9,-0.75
103,103,Washington State,12,6,15,21,9,21,30,-9,-0.75
104,103,Massachusetts,12,6,13,19,9,19,28,-9,-0.75
105,103,UAB,12,12,6,18,14,13,27,-9,-0.75
106,107,Maryland,12,16,4,20,18,12,30,-10,-0.83
107,108,Nebraska,14,10,13,23,22,13,35,-12,-0.86
108,109,South Alabama,13,10,11,21,17,16,33,-12,-0.92
109,110,Illinois,12,11,7,18,16,14,30,-12,-1.00
110,110,Auburn,12,11,2,13,10,15,25,-12,-1.00
111,110,Air Force,13,8,8,16,21,8,29,-13,-1.00
112,110,Texas Tech,13,3,8,11,8,16,24,-13,-1.00
113,114,Hawai'i,12,10,9,19,20,13,33,-14,-1.17
114,114,Western Michigan,12,9,8,17,10,21,31,-14,-1.17
115,114,Akron,12,8,5,13,9,18,27,-14,-1.17
116,114,Virginia,12,8,4,12,11,15,26,-14,-1.17
117,114,Connecticut,12,6,6,12,8,18,26,-14,-1.17
118,119,Southern Mississippi,12,7,5,12,15,13,28,-16,-1.33
119,120,Idaho,12,13,9,22,17,22,39,-17,-1.42
120,121,New Mexico State,12,5,4,9,16,11,27,-18,-1.50
121,122,Colorado,12,12,3,15,16,18,34,-19,-1.58
122,122,Arkansas,12,6,6,12,15,16,31,-19,-1.58
123,124,South Florida,12,7,2,9,14,15,29,-20,-1.67
