,Rank,Name,G,Rush,Pass,Penalty,Total,Total/G
52,53,UCF,14,145,144,12,301,21.5
53,53,Navy,13,209,59,12,280,21.5
54,55,San Diego State,13,150,103,25,278,21.4
55,55,Ohio State,12,156,86,15,257,21.4
56,57,Boise State,13,112,145,20,277,21.3
57,58,Georgia,14,124,161,12,297,21.2
58,59,Arkansas,12,88,142,23,253,21.1
59,60,South Florida,12,110,115,26,251,20.9
60,60,Miami (Ohio),12,68,160,23,251,20.9
61,62,Utah State,13,112,141,18,271,20.8
62,62,Washington State,12,40,162,48,250,20.8
63,64,Louisiana-Lafayette,13,116,131,21,268,20.6
64,64,Central Michigan,13,105,143,20,268,20.6
65,64,Wyoming,12,95,129,23,247,20.6
66,67,Cincinnati,13,124,120,22,266,20.5
67,67,Western Kentucky,13,120,128,18,266,20.5
68,69,Purdue,13,104,141,20,265,20.4
69,70,Miami (Florida),12,75,142,26,243,20.3
70,71,Mississippi State,13,95,149,18,262,20.2
71,71,Middle Tennessee,12,118,106,18,242,20.2
72,71,Buffalo,12,106,107,29,242,20.2
73,74,Kansas,12,138,82,20,240,20.0
74,75,North Texas,12,107,115,17,239,19.9
75,75,California,12,102,112,25,239,19.9
76,77,South Carolina,13,103,135,20,258,19.8
77,77,Pittsburgh,13,91,150,17,258,19.8
78,79,Iowa State,13,113,123,20,256,19.7
79,79,Boston College,12,66,147,23,236,19.7
80,79,UTSA,10,77,105,15,197,19.7
81,82,New Mexico,13,192,42,19,253,19.5
82,82,Florida International,12,104,111,19,234,19.5
83,84,UNLV,13,97,127,28,252,19.4
84,84,South Alabama,13,97,122,33,252,19.4
85,84,Texas State,12,97,108,28,233,19.4
86,84,UTEP,12,95,119,19,233,19.4
87,88,Virginia Tech,13,109,128,13,250,19.2
88,88,Michigan,13,112,113,24,249,19.2
89,88,Michigan State,13,94,139,16,249,19.2
90,88,SMU,13,92,141,16,249,19.2
91,92,Wisconsin,14,157,96,14,267,19.1
92,93,Stanford,14,113,129,24,266,19.0
93,93,Bowling Green,13,114,115,18,247,19.0
94,93,TCU,13,105,126,16,247,19.0
95,93,Washington,13,98,127,22,247,19.0
96,93,Virginia,12,95,125,8,228,19.0
97,98,Kent State,14,139,105,20,264,18.9
98,98,Vanderbilt,13,114,109,23,246,18.9
99,100,LSU,13,120,106,16,242,18.6
100,100,New Mexico State,12,72,123,28,223,18.6
101,102,Florida Atlantic,12,78,126,16,220,18.3
102,103,Missouri,12,95,114,8,217,18.1
103,104,Colorado State,12,84,117,15,216,18.0
104,105,Southern Mississippi,12,108,87,20,215,17.9
105,106,Kentucky,12,91,102,21,214,17.8
106,106,Tulane,12,44,143,27,214,17.8
107,106,Utah,12,92,104,17,213,17.8
108,109,Memphis,12,112,85,14,211,17.6
109,110,Minnesota,13,104,102,22,228,17.5
110,111,Florida,13,129,81,16,226,17.4
111,111,Iowa,12,96,94,19,209,17.4
112,113,Hawai'i,12,73,109,24,206,17.2
113,113,Colorado,12,71,110,25,206,17.2
114,113,Massachusetts,12,69,119,18,206,17.2
115,116,Connecticut,12,48,140,15,203,16.9
116,117,Eastern Michigan,12,99,85,16,200,16.7
117,118,Rutgers,13,71,121,23,215,16.5
118,118,Temple,11,104,64,13,181,16.5
119,120,Illinois,12,87,99,11,197,16.4
120,121,Wake Forest,12,78,97,13,188,15.7
121,122,Auburn,12,95,83,8,186,15.5
122,122,Idaho,12,63,108,15,186,15.5
123,124,Maryland,12,72,94,18,184,15.3
