,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
99,100,Middle Tennessee,12,128,44,18,7,2,1,0,0,0
100,101,Ball State,13,130,52,21,9,4,2,1,0,0
101,101,Kansas State,13,130,32,14,5,4,1,1,0,0
102,101,Stanford,14,130,49,12,5,2,1,1,0,0
103,104,Northern Illinois,14,131,32,13,5,3,2,1,1,1
104,104,South Florida,12,131,35,12,5,2,2,1,1,0
105,106,Kansas,12,132,51,25,11,4,3,1,0,0
106,106,Louisiana-Monroe,13,132,50,26,16,7,4,2,1,0
107,108,Cincinnati,13,133,36,19,10,8,3,2,0,0
108,109,Northwestern,13,136,34,20,7,3,0,0,0,0
109,110,Colorado,12,137,48,18,6,4,2,1,1,1
110,111,Oklahoma State,13,138,36,17,9,5,3,3,0,0
111,112,Arkansas,12,139,49,17,10,4,3,1,1,0
112,112,East Carolina,13,139,49,23,10,6,3,0,0,0
113,112,Iowa State,13,139,48,21,8,3,3,2,0,0
114,115,Houston,12,141,42,20,9,4,2,1,1,0
115,116,Louisiana-Lafayette,13,145,50,21,13,9,4,4,1,0
116,117,New Mexico,13,147,45,19,9,7,5,3,2,0
117,118,Arizona,13,150,49,22,15,8,1,1,0,0
118,119,Louisiana Tech,12,151,60,28,17,10,6,4,1,0
119,119,SMU,13,151,53,26,6,2,1,1,0,0
120,121,West Virginia,13,154,64,30,17,8,5,2,1,1
121,122,Kent State,14,156,45,18,8,4,3,3,2,0
122,123,Baylor,13,157,53,23,13,4,2,1,1,0
123,123,Toledo,13,157,52,27,10,1,1,1,0,0
