,Rank,Name,G,Kickoffs,Yards,Avg.,Touchback,Touchback %,Out-Of-Bounds,Onside
50,50,Penn State,12,69,4247,61.55,27,39.13,2,1
51,52,Indiana,12,68,4185,61.54,31,45.59,3,4
52,53,TCU,13,73,4491,61.52,34,46.58,1,1
53,54,Wisconsin,14,77,4730,61.43,28,36.36,3,1
54,54,UTEP,12,49,3010,61.43,26,53.06,0,4
55,56,USC,13,77,4728,61.40,30,38.96,1,1
56,57,Fresno State,13,90,5516,61.29,25,27.78,2,1
57,57,LSU,13,79,4842,61.29,27,34.18,1,1
58,59,San Diego State,13,78,4780,61.28,33,42.31,2,0
59,60,Kansas State,13,96,5880,61.25,34,35.42,2,0
60,61,Arizona State,13,90,5511,61.23,35,38.89,2,2
61,62,Louisiana-Lafayette,13,85,5204,61.22,25,29.41,0,2
62,63,Ohio State,12,78,4766,61.10,19,24.36,1,0
63,64,Colorado State,12,53,3232,60.98,20,37.74,1,2
64,65,Hawai'i,12,54,3292,60.96,9,16.67,2,1
65,66,Idaho,12,44,2682,60.95,12,27.27,0,1
66,67,Kent State,14,90,5483,60.92,34,37.78,2,0
67,68,Navy,13,63,3827,60.75,19,30.16,0,0
68,69,Central Michigan,13,73,4432,60.71,21,28.77,2,2
69,70,Massachusetts,12,39,2366,60.67,10,25.64,1,1
70,71,Wyoming,12,59,3575,60.59,26,44.07,1,0
71,72,California,12,60,3634,60.57,18,30.00,2,1
72,73,Michigan,13,78,4723,60.55,28,35.90,1,0
73,74,Texas,13,85,5137,60.44,30,35.29,2,1
74,75,San Jose State,13,88,5315,60.40,23,26.14,5,0
75,76,North Carolina,12,91,5492,60.35,20,21.98,1,0
76,77,Virginia Tech,13,65,3922,60.34,18,27.69,2,0
77,78,Georgia Tech,14,88,5309,60.33,22,25.00,0,0
78,78,Colorado,12,45,2715,60.33,13,28.89,1,0
79,80,Ball State,13,84,5063,60.27,23,27.38,1,3
80,81,Nevada,13,84,5057,60.20,29,34.52,0,2
81,81,Kentucky,12,41,2468,60.20,15,36.59,1,3
82,83,Missouri,12,62,3726,60.10,16,25.81,1,0
83,84,BYU,13,72,4325,60.07,27,37.50,4,1
84,85,Boston College,12,56,3361,60.02,17,30.36,1,0
85,86,Louisville,13,79,4738,59.97,5,6.33,2,0
86,87,South Carolina,13,77,4614,59.92,36,46.75,7,0
87,88,Maryland,12,52,3114,59.88,5,9.62,1,0
88,89,West Virginia,13,93,5567,59.86,23,24.73,3,1
89,90,Louisiana-Monroe,13,72,4309,59.85,22,30.56,1,3
90,91,Mississippi State,13,74,4428,59.84,16,21.62,2,0
91,92,South Alabama,13,54,3231,59.83,16,29.63,2,2
92,93,Syracuse,13,73,4365,59.79,29,39.73,0,3
93,94,Vanderbilt,13,78,4660,59.74,22,28.21,1,0
94,95,Middle Tennessee,12,66,3941,59.71,10,15.15,3,1
95,96,Texas Tech,13,83,4954,59.69,29,34.94,0,3
96,97,Northwestern,13,84,5003,59.56,16,19.05,0,0
97,98,UTSA,10,59,3508,59.46,17,28.81,3,0
98,99,Arizona,13,87,5163,59.34,42,48.28,3,2
99,100,Oregon,13,109,6465,59.31,13,11.93,0,0
100,101,Air Force,13,64,3781,59.08,25,39.06,1,2
101,102,Miami (Florida),12,74,4369,59.04,12,16.22,5,1
102,103,Northern Illinois,14,96,5663,58.99,32,33.33,2,1
103,104,Washington,13,63,3714,58.95,11,17.46,1,0
104,105,Purdue,13,70,4124,58.91,12,17.14,3,0
105,105,New Mexico State,12,43,2533,58.91,17,39.53,1,2
106,107,Boise State,13,78,4587,58.81,14,17.95,2,0
107,108,Louisiana Tech,12,103,6055,58.79,21,20.39,3,3
108,109,Troy,12,71,4163,58.63,22,30.99,2,3
109,110,Pittsburgh,13,70,4098,58.54,12,17.14,2,1
110,111,Eastern Michigan,12,52,3040,58.46,3,5.77,7,3
111,112,Baylor,13,99,5768,58.26,39,39.39,3,1
112,113,Rutgers,13,58,3376,58.21,10,17.24,4,1
113,114,Western Kentucky,13,69,4014,58.17,5,7.25,2,0
114,115,UNLV,13,56,3255,58.13,13,23.21,2,2
115,116,Western Michigan,12,63,3598,57.11,10,15.87,3,4
116,117,Kansas,12,47,2682,57.06,7,14.89,1,0
117,118,Bowling Green,13,61,3469,56.87,8,13.11,3,0
118,119,Southern Mississippi,12,49,2783,56.80,8,16.33,1,2
119,120,Marshall,12,83,4685,56.45,6,7.23,3,4
120,121,Arkansas State,13,88,4890,55.57,18,20.45,4,1
121,122,Akron,12,59,3266,55.36,21,35.59,5,1
122,123,Miami (Ohio),12,59,3211,54.42,15,25.42,3,3
123,124,Buffalo,12,51,2700,52.94,13,25.49,1,2
