,Rank,Name,G,TD,FG,1XP,2XP,Safety,Points,Points/G
101,101,Indiana,12,31,13,30,1,0,257,21.4
102,103,Miami (Ohio),12,36,2,32,0,1,256,21.3
103,103,Eastern Michigan,12,31,14,27,0,0,255,21.3
104,105,Tulane,13,34,11,33,0,2,274,21.1
105,106,Tennessee,12,31,10,28,0,0,244,20.3
106,106,Idaho,12,30,10,23,4,1,243,20.3
107,108,UAB,12,28,16,24,1,0,242,20.2
108,109,Colorado,13,32,11,30,0,1,257,19.8
109,110,Penn State,13,29,16,27,1,0,251,19.3
110,111,Minnesota,12,27,12,23,0,0,221,18.4
111,112,Boston College,12,27,10,26,0,0,218,18.2
112,113,UNLV,12,26,9,24,0,0,207,17.3
113,114,Kent State,12,24,13,18,1,1,205,17.1
114,115,Memphis,12,25,8,21,0,0,195,16.3
115,116,Mississippi,12,24,9,20,1,0,193,16.1
116,117,Kentucky,12,22,12,20,1,0,190,15.8
117,118,Akron,12,20,11,15,0,1,170,14.2
118,119,Florida Atlantic,12,19,7,18,1,0,155,12.9
119,120,New Mexico,12,18,6,18,0,0,144,12.0
