,Rank,Name,G,Fum. Gain,Int. Gain,Total Gain,Fum. Lost,Int. Lost,Total Lost,Margin,Margin/G
83,82,Colorado,12,11,10,21,9,15,24,-3,-0.25
84,82,Indiana,12,10,7,17,6,14,20,-3,-0.25
85,86,Georgia Tech,13,6,14,20,11,13,24,-4,-0.31
86,87,West Virginia,12,16,12,28,16,16,32,-4,-0.33
87,87,Wyoming,12,11,9,20,12,12,24,-4,-0.33
88,87,Louisiana-Monroe,12,6,13,19,9,14,23,-4,-0.33
89,87,Kent State,12,4,9,13,8,9,17,-4,-0.33
90,87,New Mexico,12,6,4,10,9,5,14,-4,-0.33
91,87,Air Force,12,5,4,9,9,4,13,-4,-0.33
92,93,Washington State,13,14,16,30,11,24,35,-5,-0.38
93,94,Central Michigan,12,8,14,22,10,17,27,-5,-0.42
94,94,Virginia,12,11,10,21,9,17,26,-5,-0.42
95,94,San Jose State,12,5,12,17,8,14,22,-5,-0.42
96,97,New Mexico State,12,10,10,20,13,13,26,-6,-0.50
97,97,UAB,12,7,7,14,11,9,20,-6,-0.50
98,97,Temple,12,10,3,13,8,11,19,-6,-0.50
99,97,UTEP,12,9,3,12,8,10,18,-6,-0.50
100,101,Maryland,13,10,11,21,18,10,28,-7,-0.54
101,101,Cincinnati,13,8,13,21,11,17,28,-7,-0.54
102,101,Georgia,13,8,7,15,10,12,22,-7,-0.54
103,104,Massachusetts,12,11,8,19,8,18,26,-7,-0.58
104,104,Western Michigan,12,11,8,19,8,18,26,-7,-0.58
105,104,SMU,12,6,11,17,12,12,24,-7,-0.58
106,104,Georgia State,12,9,7,16,11,12,23,-7,-0.58
107,104,UTSA,12,6,8,14,8,13,21,-7,-0.58
108,104,Florida International,12,6,7,13,10,10,20,-7,-0.58
109,104,Troy,12,5,6,11,9,9,18,-7,-0.58
110,111,Idaho,12,9,10,19,14,13,27,-8,-0.67
111,111,Memphis,12,7,11,18,15,11,26,-8,-0.67
112,113,Utah,12,13,3,16,4,21,25,-9,-0.75
113,113,Arkansas,12,6,8,14,12,11,23,-9,-0.75
114,115,Hawai'i,12,15,9,24,12,22,34,-10,-0.83
115,115,Tulsa,12,9,15,24,15,19,34,-10,-0.83
116,115,Western Kentucky,12,7,14,21,15,16,31,-10,-0.83
117,115,Illinois,12,8,3,11,7,14,21,-10,-0.83
118,119,San Diego State,13,11,8,19,16,14,30,-11,-0.85
119,119,Nebraska,13,4,14,18,16,13,29,-11,-0.85
120,121,Rutgers,13,10,8,18,8,22,30,-12,-0.92
121,122,Eastern Michigan,12,4,7,11,9,14,23,-12,-1.00
122,123,Texas Tech,13,11,8,19,15,18,33,-14,-1.08
123,124,California,12,8,5,13,14,14,28,-15,-1.25
124,125,Southern Mississippi,12,13,6,19,12,26,38,-19,-1.58
