,Rank,Name,G,Pen.,Yards,Pen./G,Yards/G
76,77,Miami (Florida),13,81,595,6.2,45.8
77,78,Florida,12,64,545,5.3,45.4
78,79,Florida Atlantic,12,62,537,5.2,44.8
79,80,Maryland,13,65,580,5.0,44.6
80,81,Ohio State,14,77,621,5.5,44.4
81,82,Tulsa,12,59,531,4.9,44.3
82,82,Central Michigan,12,57,532,4.8,44.3
83,84,UTSA,12,68,525,5.7,43.8
84,85,Indiana,12,66,523,5.5,43.6
85,86,Mississippi,13,71,564,5.5,43.4
86,87,Florida International,12,57,520,4.8,43.3
87,87,UAB,12,57,519,4.8,43.3
88,89,Alabama,13,71,560,5.5,43.1
89,89,Iowa,13,60,560,4.6,43.1
90,91,Mississippi State,13,65,559,5.0,43.0
91,91,San Jose State,12,56,516,4.7,43.0
92,93,Virginia Tech,13,79,558,6.1,42.9
93,93,Auburn,14,80,600,5.7,42.9
94,95,Arkansas State,13,70,556,5.4,42.8
95,96,Georgia State,12,51,511,4.3,42.6
96,97,North Carolina,13,69,553,5.3,42.5
97,98,Oregon,13,62,551,4.8,42.4
98,99,Boston College,13,63,544,4.8,41.8
99,100,North Texas,13,61,542,4.7,41.7
100,101,Massachusetts,12,56,494,4.7,41.2
101,102,BYU,13,70,530,5.4,40.8
102,102,LSU,13,69,530,5.3,40.8
103,104,Rice,14,66,564,4.7,40.3
104,104,Akron,12,56,483,4.7,40.3
105,106,Michigan,13,62,522,4.8,40.2
106,107,North Carolina State,12,63,481,5.3,40.1
107,108,Colorado State,14,66,549,4.7,39.2
108,109,Nebraska,13,58,501,4.5,38.5
109,110,Kansas State,13,66,495,5.1,38.1
110,111,Toledo,12,59,454,4.9,37.8
111,111,Wake Forest,12,57,453,4.8,37.8
112,113,Bowling Green,14,67,522,4.8,37.3
113,114,Air Force,12,58,438,4.8,36.5
114,115,Northwestern,12,52,422,4.3,35.2
115,116,Arkansas,12,55,421,4.6,35.1
116,117,Syracuse,13,55,447,4.2,34.4
117,118,South Carolina,13,61,440,4.7,33.8
118,119,UTEP,12,45,402,3.8,33.5
119,120,Iowa State,12,52,397,4.3,33.1
120,121,Wisconsin,13,66,417,5.1,32.1
121,122,Louisville,13,43,396,3.3,30.5
122,123,Minnesota,13,44,382,3.4,29.4
123,124,New Mexico,12,45,335,3.8,27.9
124,125,Purdue,12,42,320,3.5,26.7
