,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
51,51,Bowling Green,14,64,20,9,9,4,2,1,0,0
52,51,Michigan,13,64,11,5,2,1,0,0,0,0
53,54,Boise State,13,65,12,3,2,0,0,0,0,0
54,54,LSU,13,65,13,3,1,0,0,0,0,0
55,54,Rice,14,65,16,9,4,2,1,1,1,0
56,57,Clemson,13,66,20,12,4,4,3,1,0,0
57,57,Missouri,14,66,21,9,6,2,0,0,0,0
58,57,Nebraska,13,66,14,8,2,0,0,0,0,0
59,57,Pittsburgh,13,66,20,10,2,1,1,1,0,0
60,61,Louisiana-Lafayette,13,67,15,4,3,2,2,2,0,0
61,61,Mississippi,13,67,12,4,2,2,1,0,0,0
62,61,Northwestern,12,67,12,5,2,2,1,1,0,0
63,61,Oklahoma State,13,67,12,5,2,2,0,0,0,0
64,61,Washington State,13,67,16,10,5,5,3,2,0,0
65,66,Arkansas State,13,68,22,9,6,3,3,2,1,0
66,66,Toledo,12,68,15,3,0,0,0,0,0,0
67,68,Florida International,12,69,24,11,10,6,3,2,0,0
68,68,Kentucky,12,69,22,9,4,3,3,1,1,0
69,68,Minnesota,13,69,20,9,5,2,1,0,0,0
70,68,UCLA,13,69,12,5,2,1,1,0,0,0
71,68,Virginia,12,69,26,16,4,2,2,1,0,0
72,73,Marshall,14,70,16,4,2,0,0,0,0,0
73,73,Miami (Florida),13,70,15,9,4,2,1,1,0,0
74,75,California,12,71,29,13,6,4,1,1,0,0
75,75,Central Michigan,12,71,22,9,5,0,0,0,0,0
76,75,Houston,13,71,10,2,0,0,0,0,0,0
77,75,Middle Tennessee,13,71,14,7,5,2,0,0,0,0
78,75,North Carolina,13,71,17,6,6,5,2,2,1,0
79,75,North Carolina State,12,71,24,13,6,3,1,0,0,0
80,75,Ohio,13,71,20,13,5,4,3,1,0,0
81,75,Tulsa,12,71,25,11,6,3,2,2,2,1
82,83,Arizona,13,72,13,5,3,2,2,1,0,0
83,83,Arkansas,12,72,20,5,3,2,1,1,1,0
84,83,Georgia State,12,72,23,7,2,2,1,0,0,0
85,83,Notre Dame,13,72,9,4,2,0,0,0,0,0
86,83,South Carolina,13,72,16,7,2,1,0,0,0,0
87,83,Vanderbilt,13,72,10,5,5,3,2,1,0,0
88,89,Army,12,73,23,11,6,3,2,2,0,0
89,89,Duke,14,73,7,4,3,0,0,0,0,0
90,89,Iowa State,12,73,25,16,10,6,3,1,0,0
91,89,West Virginia,12,73,18,10,6,6,4,1,1,0
92,93,Louisiana-Monroe,12,74,19,10,5,3,2,1,0,0
93,94,Louisiana Tech,12,75,15,4,2,0,0,0,0,0
94,94,Troy,12,75,13,7,3,2,1,0,0,0
95,94,UNLV,13,75,27,19,6,4,3,0,0,0
96,97,Massachusetts,12,76,25,11,6,3,1,1,0,0
97,98,Illinois,12,77,30,14,9,6,4,2,0,0
98,99,Colorado,12,78,25,9,8,5,0,0,0,0
99,99,Kent State,12,78,18,3,2,1,0,0,0,0
100,99,Texas Tech,13,78,22,11,6,2,2,0,0,0
101,102,Kansas,12,79,27,4,2,1,1,0,0,0
102,102,Oregon State,13,79,25,12,7,4,3,2,0,0
103,104,South Alabama,12,80,12,5,4,3,1,1,0,0
104,104,Wyoming,12,80,16,6,3,2,1,0,0,0
105,106,Auburn,14,81,22,7,5,3,1,0,0,0
106,106,Ball State,13,81,23,13,4,2,2,1,0,0
107,108,Eastern Michigan,12,83,33,22,14,10,6,3,2,1
108,108,San Jose State,12,83,25,11,2,2,1,0,0,0
109,108,Tennessee,12,83,24,8,5,3,1,0,0,0
110,111,Texas A&M,13,84,23,13,8,6,2,0,0,0
111,112,Idaho,12,85,26,11,8,5,3,0,0,0
112,113,Hawai'i,12,86,23,11,5,4,2,1,0,0
113,114,Southern Mississippi,12,87,23,9,5,4,2,1,0,0
114,114,Texas,13,87,22,8,2,2,1,0,0,0
115,116,UAB,12,88,26,12,10,5,2,1,0,0
116,117,Air Force,12,89,22,7,4,2,2,1,0,0
117,117,UTEP,12,89,31,18,8,4,3,2,1,0
118,119,Purdue,12,90,19,7,3,2,1,1,0,0
119,120,Miami (Ohio),12,91,15,6,2,1,0,0,0,0
120,121,New Mexico,12,94,32,17,10,6,4,2,0,0
121,122,Indiana,12,96,26,17,8,2,1,1,1,1
122,122,Nevada,12,96,36,19,14,10,8,4,1,0
123,124,Western Michigan,12,99,23,10,4,3,2,0,0,0
124,125,New Mexico State,12,113,35,22,14,9,2,1,1,0
