,Rank,Name,G,Fum. Gain,Int. Gain,Total Gain,Fum. Lost,Int. Lost,Total Lost,Margin,Margin/G
69,68,Arizona,13,7,12,19,8,12,20,-1,-0.08
70,71,West Virginia,13,6,17,23,15,10,25,-2,-0.15
71,72,Kent State,12,11,15,26,12,16,28,-2,-0.17
72,72,Arizona State,12,9,15,24,14,12,26,-2,-0.17
73,72,Tulsa,12,12,9,21,13,10,23,-2,-0.17
74,75,Boston College,13,8,15,23,8,18,26,-3,-0.23
75,75,Nevada,13,10,8,18,15,6,21,-3,-0.23
76,77,Eastern Michigan,12,11,12,23,10,16,26,-3,-0.25
77,77,UTEP,12,7,11,18,8,13,21,-3,-0.25
78,77,Louisville,12,7,10,17,9,11,20,-3,-0.25
79,77,UNLV,12,11,5,16,5,14,19,-3,-0.25
80,81,Marshall,13,9,9,18,9,13,22,-4,-0.31
81,81,South Carolina,13,11,6,17,11,10,21,-4,-0.31
82,83,San Jose State,12,15,6,21,10,15,25,-4,-0.33
83,83,Florida International,12,7,10,17,9,12,21,-4,-0.33
84,83,Illinois,12,11,5,16,8,12,20,-4,-0.33
85,83,Wake Forest,12,6,9,15,7,12,19,-4,-0.33
86,87,Mississippi State,12,8,17,25,13,17,30,-5,-0.42
87,87,Purdue,12,12,12,24,15,14,29,-5,-0.42
88,87,Louisiana-Monroe,12,10,13,23,8,20,28,-5,-0.42
89,87,Arkansas State,12,11,8,19,12,12,24,-5,-0.42
90,87,Akron,12,6,13,19,11,13,24,-5,-0.42
91,87,Baylor,12,8,10,18,7,16,23,-5,-0.42
92,87,Kansas,12,10,7,17,12,10,22,-5,-0.42
93,94,Texas Tech,13,14,10,24,13,17,30,-6,-0.46
94,94,Troy,13,11,10,21,17,10,27,-6,-0.46
95,94,Michigan State,13,8,6,14,8,12,20,-6,-0.46
96,97,Colorado,12,16,9,25,13,18,31,-6,-0.50
97,97,Western Michigan,12,12,10,22,14,14,28,-6,-0.50
98,97,Syracuse,12,12,9,21,12,15,27,-6,-0.50
99,97,Maryland,12,8,10,18,14,10,24,-6,-0.50
100,101,Mississippi,13,11,13,24,10,21,31,-7,-0.54
101,102,Washington State,12,14,10,24,15,16,31,-7,-0.58
102,102,New Mexico,12,12,7,19,11,15,26,-7,-0.58
103,102,Ball State,12,9,10,19,12,14,26,-7,-0.58
104,102,Buffalo,12,11,7,18,10,15,25,-7,-0.58
105,106,Idaho,13,8,7,15,8,15,23,-8,-0.62
106,107,Rice,12,12,6,18,10,17,27,-9,-0.75
107,107,Memphis,12,8,9,17,11,15,26,-9,-0.75
108,109,New Mexico State,13,11,7,18,10,18,28,-10,-0.77
109,109,Fresno State,13,7,8,15,14,11,25,-10,-0.77
110,111,Toledo,12,9,12,21,15,16,31,-10,-0.83
111,111,San Diego State,12,4,11,15,9,16,25,-10,-0.83
112,113,Hawai'i,13,10,12,22,16,17,33,-11,-0.85
113,114,North Carolina State,12,6,8,14,12,13,25,-11,-0.92
114,115,Western Kentucky,12,10,6,16,16,12,28,-12,-1.00
115,115,Michigan,12,5,11,16,13,15,28,-12,-1.00
116,117,North Texas,12,8,7,15,12,17,29,-14,-1.17
117,118,Georgia,13,2,10,12,11,17,28,-16,-1.23
118,119,Tulane,12,5,5,10,12,14,26,-16,-1.33
119,120,Miami (Ohio),12,6,6,12,15,21,36,-24,-2.00
